nios2-terminal: connected to hardware target using JTAG UART on cable
nios2-terminal: "USB-Blaster [USB-0]", device 1, instance 0
nios2-terminal: (Use the IDE stop button or Ctrl-C to terminate)

lab mode is Interrupt
period, pulse_width, bg_tasks_run, avg_latency, missed, multi_pulses
1264, 632, 7587, 254, 0, 0
1266, 633, 7596, 254, 0, 0
1268, 634, 7596, 254, 0, 0
1270, 635, 7601, 254, 0, 0
1272, 636, 7608, 254, 0, 0
1274, 637, 7609, 254, 0, 0
1276, 638, 7625, 254, 0, 0
1278, 639, 7617, 254, 0, 0
1280, 640, 7624, 254, 0, 0
1282, 641, 7628, 254, 0, 0
1284, 642, 7631, 254, 0, 0
1286, 643, 7637, 254, 0, 0
1288, 644, 7641, 254, 0, 0
1290, 645, 7644, 254, 0, 0
1292, 646, 7650, 254, 0, 0
1294, 647, 7711, 254, 0, 0
1296, 648, 7666, 254, 0, 0
1298, 649, 7688, 254, 0, 0
1300, 650, 7678, 254, 0, 0
1302, 651, 7682, 254, 0, 0
1304, 652, 7684, 254, 0, 0
1306, 653, 7686, 254, 0, 0
1308, 654, 7685, 254, 0, 0
1310, 655, 7688, 254, 0, 0
1312, 656, 7692, 254, 0, 0
1314, 657, 7696, 254, 0, 0
1316, 658, 7697, 254, 0, 0
1318, 659, 7707, 254, 0, 0
1320, 660, 7707, 254, 0, 0
1322, 661, 7710, 254, 0, 0
1324, 662, 7715, 254, 0, 0
1326, 663, 7724, 254, 0, 0
1328, 664, 7729, 254, 0, 0
1330, 665, 7728, 254, 0, 0
1332, 666, 7734, 254, 0, 0
1334, 667, 7738, 254, 0, 0
1336, 668, 7741, 254, 0, 0
1338, 669, 7756, 254, 0, 0
1340, 670, 7750, 254, 0, 0
1342, 671, 7757, 254, 0, 0
1344, 672, 7756, 254, 0, 0
1346, 673, 7763, 254, 0, 0
1348, 674, 7768, 254, 0, 0
1350, 675, 7763, 254, 0, 0
1352, 676, 7775, 254, 0, 0
1354, 677, 7780, 254, 0, 0
1356, 678, 7780, 254, 0, 0
1358, 679, 7789, 254, 0, 0
1360, 680, 7790, 254, 0, 0
1362, 681, 7793, 254, 0, 0
1364, 682, 7806, 254, 0, 0
1366, 683, 7793, 254, 0, 0
1368, 684, 7801, 254, 0, 0
1370, 685, 7810, 254, 0, 0
1372, 686, 7814, 254, 0, 0
1374, 687, 7816, 254, 0, 0
1376, 688, 7821, 254, 0, 0
1378, 689, 7823, 254, 0, 0
1380, 690, 7827, 254, 0, 0
1382, 691, 7833, 254, 0, 0
1384, 692, 7838, 254, 0, 0
1386, 693, 7841, 254, 0, 0
1388, 694, 7844, 254, 0, 0
1390, 695, 7850, 254, 0, 0
1392, 696, 7851, 254, 0, 0
1394, 697, 7858, 254, 0, 0
1396, 698, 7864, 254, 0, 0
1398, 699, 7866, 254, 0, 0
1400, 700, 7868, 254, 0, 0
1402, 701, 7868, 254, 0, 0
1404, 702, 7874, 254, 0, 0
1406, 703, 7876, 254, 0, 0
1408, 704, 7880, 254, 0, 0
1410, 705, 7887, 254, 0, 0
1412, 706, 7889, 254, 0, 0
1414, 707, 7892, 254, 0, 0
1416, 708, 7894, 254, 0, 0
1418, 709, 7898, 254, 0, 0
1420, 710, 7907, 254, 0, 0
1422, 711, 7906, 254, 0, 0
1424, 712, 7910, 254, 0, 0
1426, 713, 7916, 254, 0, 0
1428, 714, 7921, 254, 0, 0
1430, 715, 7910, 254, 0, 0
1432, 716, 7920, 254, 0, 0
1434, 717, 7928, 254, 0, 0
1436, 718, 7932, 254, 0, 0
1438, 719, 7937, 254, 0, 0
1440, 720, 7940, 254, 0, 0
1442, 721, 7944, 254, 0, 0
1444, 722, 7951, 254, 0, 0
1446, 723, 7949, 254, 0, 0
1448, 724, 7954, 254, 0, 0
1450, 725, 7957, 254, 0, 0
